"Name","Market.Value","Age","Nation","Team","MP","Min","X90s","Starts","Subs","unSub","Gls","Ast","G.A","G.PK","PK","PKatt","PKm","Pos","X.9999"
"William Saliba","€80.00m","22","France","Arsenal","38","3420","38.0","38","0","0","2","1","3","2","0","0","0","DF","972aeb2a"
"Gabriel Magalhães","€70.00m","25","Brazil","Arsenal","36","3044","33.8","34","2","2","4","0","4","4","0","0","0","DF","67ac5bb8"
"Jakub Kiwior","€30.00m","23","Poland","Arsenal","20","946","10.5","11","9","18","1","3","4","1","0","0","0","DF","dc3e663e"
"Oleksandr Zinchenko","€38.00m","26","Ukraine","Arsenal","27","1722","19.1","20","7","5","1","2","3","1","0","0","0","DF","51cf8561"
"Ben White","€55.00m","25","England","Arsenal","37","2988","33.2","35","2","0","4","4","8","4","0","0","0","DF","35e413f1"
"Takehiro Tomiyasu","€35.00m","24","Japan","Arsenal","22","1149","12.8","10","12","1","2","1","3","2","0","0","0","DF","b3af9be1"
"Cédric Soares","€2.00m","31","Portugal","Arsenal","3","62","0.7","0","3","15","0","0","0","0","0","0","0","DF","839c14e1"
"Declan Rice","€120.00m","24","England","Arsenal","38","3225","35.8","37","1","0","7","8","15","7","0","0","0","MF","1c7012b8"
"Thomas Partey","€18.00m","30","Ghana","Arsenal","14","788","8.8","9","5","3","0","0","0","0","0","0","0","MFDF","529f49ab"
"Jorginho","€12.00m","31","Italy","Arsenal","24","921","10.2","10","14","13","0","2","2","0","0","0","0","MF","45db685d"
"Mohamed Elneny","€3.50m","31","Egypt","Arsenal","3","28","0.3","0","3","13","0","0","0","0","0","0","0","MF","47a34c4f"
"Albert Sambi Lokonga","€15.00m","23","Belgium","Luton Town","17","1303","14.5","16","1","0","1","3","4","1","0","0","0","MF","1b4f1169"
"Martin Ødegaard","€110.00m","24","Norway","Arsenal","35","3091","34.3","35","0","1","8","10","18","6","2","2","0","MF","79300479"
"Emile Smith Rowe","€22.00m","23","England","Arsenal","13","353","3.9","3","10","18","0","1","1","0","0","0","0","MF","17695062"
"Ethan Nwaneri","€8.00m","16","England","Arsenal","1","14","0.2","0","1","1","0","0","0","0","0","0","0","FW","7f94982c"
"Gabriel Martinelli","€70.00m","22","Brazil","Arsenal","35","2019","22.4","24","11","0","6","4","10","6","0","0","0","FW","48a5a5d6"
"Leandro Trossard","€35.00m","28","Belgium","Arsenal","34","1649","18.3","18","16","3","12","1","13","12","0","0","0","FWMF","38ceb24a"
"Bukayo Saka","€140.00m","21","England","Arsenal","35","2919","32.4","35","0","0","16","9","25","10","6","6","0","FW","bc7dc64d"
"Reiss Nelson","€15.00m","23","England","Arsenal","15","268","3.0","1","14","15","0","0","0","0","0","0","0","FW","c5bdb6e3"
"Kai Havertz","€70.00m","24","Germany","Arsenal","37","2634","29.3","30","7","0","13","7","20","12","1","1","0","MFFW","fed7cb61"
"Gabriel Jesus","€65.00m","26","Brazil","Arsenal","27","1478","16.4","17","10","3","4","5","9","4","0","0","0","FW","b66315ae"
"Eddie Nketiah","€30.00m","24","England","Arsenal","27","1082","12.0","10","17","11","5","2","7","5","0","0","0","FW","a53649b7"
"Pau Torres","€45.00m","26","Spain","Aston Villa","29","2464","27.4","27","2","5","2","0","2","2","0","0","0","DF","532e1e4f"
"Ezri Konsa","€35.00m","25","England","Aston Villa","35","3069","34.1","35","0","0","1","0","1","1","0","0","0","DF","0313a347"
"Diego Carlos","€16.00m","30","Brazil","Aston Villa","27","1816","20.2","20","7","5","0","0","0","0","0","0","0","DF","b4a014b1"
"Tyrone Mings","€13.00m","30","England","Aston Villa","1","30","0.3","1","0","0","0","0","0","0","0","0","0","DF","8397a50c"
"Clément Lenglet","€10.00m","28","France","Aston Villa","14","1153","12.8","14","0","20","0","1","1","0","0","0","0","DF","4f28a6ff"
"Calum Chambers","€4.00m","28","England","Aston Villa","5","152","1.7","1","4","26","0","1","1","0","0","0","0","MFDF","dc6f5bdd"
"Finley Munroe","€100k","18","England","Aston Villa","1","4","0.0","0","1","2","0","0","0","0","0","0","0","MF","36625c27"
"Álex Moreno","€13.00m","30","Spain","Aston Villa","21","1031","11.5","11","10","4","2","0","2","2","0","0","0","DF","16e9d0ea"
"Lucas Digne","€12.00m","30","France","Aston Villa","33","2410","26.8","27","6","0","1","3","4","1","0","0","0","DF","1b84dbe1"
"Matty Cash","€28.00m","25","Poland","Aston Villa","29","2142","23.8","23","6","2","2","2","4","2","0","0","0","DF","2389cdc2"
"Kaine Kesler-Hayden","€2.20m","20","England","Aston Villa","3","6","0.1","0","3","14","0","0","0","0","0","0","0","MFDF","9b066938"
"Boubacar Kamara","€38.00m","23","France","Aston Villa","20","1652","18.4","20","0","0","0","1","1","0","0","0","0","MF","cc77354e"
"Leander Dendoncker","€7.00m","28","Belgium","Aston Villa","8","119","1.3","1","7","10","1","0","1","1","0","0","0","MF","5a7301ae"
"Douglas Luiz","€70.00m","25","Brazil","Aston Villa","35","2993","33.3","35","0","0","9","5","14","5","4","4","0","MF","6f7d826d"
"John McGinn","€30.00m","28","Scotland","Aston Villa","35","2999","33.3","35","0","0","6","4","10","6","0","0","0","MFFW","90f91999"
"Youri Tielemans","€25.00m","26","Belgium","Aston Villa","32","1622","18.0","17","15","0","2","6","8","2","0","0","0","MFFW","56f7a928"
"Tim Iroegbunam","€4.00m","20","England","Aston Villa","9","164","1.8","1","8","16","0","0","0","0","0","0","0","MF","84c5ceea"
"Jacob Ramsey","€35.00m","22","England","Aston Villa","16","853","9.5","8","8","0","1","1","2","1","0","0","0","FWMF","1544f145"
"Nicolò Zaniolo","€20.00m","24","Italy","Aston Villa","25","839","9.3","9","16","5","2","0","2","2","0","0","0","FWMF","9907b1c8"
"Morgan Rogers","€15.00m","21","England","Aston Villa","11","638","7.1","8","3","3","3","1","4","3","0","0","0","MFFW","2e5915f1"
"Philippe Coutinho","€7.50m","31","Brazil","Aston Villa","2","25","0.3","0","2","0","0","0","0","0","0","0","0","MFFW","0ef89a37"
"Omari Kellyman","€1.00m","17","England","Aston Villa","2","37","0.4","0","2","10","0","0","0","0","0","0","0","FW","aa888da7"
"Moussa Diaby","€55.00m","24","France","Aston Villa","38","2174","24.2","25","13","0","6","8","14","6","0","0","0","FWMF","aeed5c06"
"Leon Bailey","€42.00m","25","Jamaica","Aston Villa","35","2068","23.0","22","13","1","10","9","19","10","0","0","0","MFFW","3a233281"
"Bertrand Traoré","€9.00m","27","Burkina Faso","Aston Villa","2","11","0.1","0","2","6","0","0","0","0","0","0","0","DFFW","c47541e0"
"Ollie Watkins","€65.00m","27","England","Aston Villa","37","3217","35.7","37","0","0","19","13","32","19","0","0","0","FW","aed3a70f"
"Jhon Durán","€20.00m","19","Colombia","Aston Villa","23","475","5.3","3","20","5","5","0","5","5","0","0","0","FWMF","414184f7"
"Marcos Senesi","€22.00m","26","Argentina","Bournemouth","31","2242","24.9","26","5","1","4","5","9","4","0","0","0","DF","35141f4c"
"Lloyd Kelly","€18.00m","24","England","Bournemouth","23","1559","17.3","17","6","0","0","1","1","0","0","0","0","DF","f31def1e"
"Chris Mepham","€6.00m","25","Wales","Bournemouth","10","617","6.9","6","4","14","0","1","1","0","0","0","0","DF","fed96827"
"James Hill","€2.00m","21","England","Bournemouth","5","76","0.8","1","4","10","0","0","0","0","0","0","0","DF","69942fb3"
"Milos Kerkez","€20.00m","19","Hungary","Bournemouth","28","1970","21.9","22","6","3","0","1","1","0","0","0","0","DF","0ad53bdc"
"Max Aarons","€16.00m","23","England","Bournemouth","20","1237","13.7","13","7","5","0","1","1","0","0","0","0","DF","774cf58b"
"Adam Smith","€1.00m","32","England","Bournemouth","28","2150","23.9","25","3","6","0","2","2","0","0","0","0","DF","20b104bc"
"Tyler Adams","€15.00m","24","United States","Bournemouth","3","121","1.3","1","2","2","0","0","0","0","0","0","0","MF","2b09d998"
"Philip Billing","€22.00m","27","Denmark","Bournemouth","29","1398","15.5","13","16","4","2","2","4","2","0","0","0","MF","d328a254"
"Alex Scott","€20.00m","19","England","Bournemouth","23","1014","11.3","11","12","2","1","1","2","1","0","0","0","MF","104d0bb8"
"Lewis Cook","€12.00m","26","England","Bournemouth","33","2786","31.0","32","1","0","0","3","3","0","0","0","0","MF","2afc7272"
